,Country Name,Country Code,Region,Year,"Life expectancy at birth, total (years)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Lifetime risk of maternal death (%),"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality rate, under-5 (per 1,000 live births)"
0,Australia,AUS,East Asia & Pacific,2009,81.5439024390244,83.9,79.3,0.0112244003854414,5.0,5.0
1,Australia,AUS,East Asia & Pacific,2010,81.6951219512195,84.0,79.5,0.0113747348269522,5.0,4.8
2,Australia,AUS,East Asia & Pacific,2011,81.8951219512195,84.2,79.7,0.012386187982092,6.0,4.5
3,Australia,AUS,East Asia & Pacific,2012,82.0463414634146,84.3,79.9,0.0122260456346902,6.0,4.3
4,Australia,AUS,East Asia & Pacific,2013,82.1487804878049,84.3,80.1,0.0125087288152162,6.0,4.1
5,Australia,AUS,East Asia & Pacific,2014,82.3,84.4,80.3,0.0093739036767186,5.0,4.0
6,Australia,AUS,East Asia & Pacific,2015,82.4,84.5,80.4,0.0091206316472042,5.0,3.9
7,Australia,AUS,East Asia & Pacific,2016,82.4487804878049,84.6,80.4,0.0090015082330268,5.0,3.8
8,Australia,AUS,East Asia & Pacific,2017,82.5,84.6,80.5,0.0083008683074658,5.0,3.8
9,Australia,AUS,East Asia & Pacific,2018,82.7487804878049,84.9,80.7,0.0076987200388362,4.0,3.8
10,Australia,AUS,East Asia & Pacific,2019,82.9,85.0,80.9,0.0088423658161186,5.0,3.8
11,Australia,AUS,East Asia & Pacific,2020,83.2,85.3,81.2,0.0051322958549402,3.0,3.8
12,Australia,AUS,East Asia & Pacific,2021,83.3,85.4,81.3,,,3.8
13,Australia,AUS,East Asia & Pacific,2022,83.2,85.3,81.2,,,3.8
14,Austria,AUT,Europe & Central Asia,2009,80.3317073170732,83.2,77.6,0.0083224169172367,6.0,4.4
15,Austria,AUT,Europe & Central Asia,2010,80.5804878048781,83.5,77.8,0.0082871541787066,6.0,4.3
16,Austria,AUT,Europe & Central Asia,2011,80.9829268292683,83.8,78.3,0.0084083788500509,6.0,4.2
17,Austria,AUT,Europe & Central Asia,2012,80.9365853658537,83.6,78.4,0.0079968238598461,6.0,4.0
18,Austria,AUT,Europe & Central Asia,2013,81.1365853658537,83.8,78.6,0.0079931195205262,6.0,3.9
19,Austria,AUT,Europe & Central Asia,2014,81.490243902439,84.0,79.1,0.0082352488164788,6.0,3.8
20,Austria,AUT,Europe & Central Asia,2015,81.190243902439,83.7,78.8,0.0078989733585394,6.0,3.7
21,Austria,AUT,Europe & Central Asia,2016,81.6414634146342,84.1,79.3,0.0074322651325721,5.0,3.6
22,Austria,AUT,Europe & Central Asia,2017,81.6439024390244,84.0,79.4,0.0071679811052179,5.0,3.6
23,Austria,AUT,Europe & Central Asia,2018,81.6926829268293,84.1,79.4,0.008113932936915,6.0,3.5
24,Austria,AUT,Europe & Central Asia,2019,81.8951219512195,84.2,79.7,0.0076560293518169,5.0,3.5
25,Austria,AUT,Europe & Central Asia,2020,81.1926829268293,83.6,78.9,0.0072842860478359,5.0,3.4
26,Austria,AUT,Europe & Central Asia,2021,81.190243902439,83.7,78.8,,,3.3
27,Austria,AUT,Europe & Central Asia,2022,81.0926829268293,83.5,78.8,,,3.2
28,Belgium,BEL,Europe & Central Asia,2009,80.0341463414634,82.8,77.4,0.0106311015249113,6.0,4.6
29,Belgium,BEL,Europe & Central Asia,2010,80.1829268292683,83.0,77.5,0.0102948587875378,6.0,4.5
30,Belgium,BEL,Europe & Central Asia,2011,80.5853658536585,83.3,78.0,0.0100728092102382,6.0,4.4
31,Belgium,BEL,Europe & Central Asia,2012,80.3853658536585,83.1,77.8,0.0091477987626477,5.0,4.3
32,Belgium,BEL,Europe & Central Asia,2013,80.5878048780488,83.2,78.1,0.0096444706021203,6.0,4.2
33,Belgium,BEL,Europe & Central Asia,2014,81.2878048780488,83.9,78.8,0.0091466771086577,5.0,4.2
34,Belgium,BEL,Europe & Central Asia,2015,80.9926829268293,83.4,78.7,0.0090508199325064,5.0,4.1
35,Belgium,BEL,Europe & Central Asia,2016,81.4390243902439,84.0,79.0,0.0085851157578685,5.0,4.1
36,Belgium,BEL,Europe & Central Asia,2017,81.4926829268293,83.9,79.2,0.0085467129135483,5.0,4.0
37,Belgium,BEL,Europe & Central Asia,2018,81.5951219512195,83.9,79.4,0.0085403854988694,5.0,4.0
38,Belgium,BEL,Europe & Central Asia,2019,81.9951219512195,84.3,79.8,0.008012389516583,5.0,3.9
39,Belgium,BEL,Europe & Central Asia,2020,80.6951219512195,83.0,78.5,0.0082789266109735,5.0,3.9
40,Belgium,BEL,Europe & Central Asia,2021,81.790243902439,84.3,79.4,,,3.8
41,Belgium,BEL,Europe & Central Asia,2022,81.6975609756098,83.9,79.6,,,3.7
42,Canada,CAN,North America,2009,81.0660975609756,83.33,78.91,0.0219102956009014,13.0,5.8
43,Canada,CAN,North America,2010,81.3221951219512,83.54,79.21,0.0207495390816671,12.0,5.7
44,Canada,CAN,North America,2011,81.4826829268293,83.68,79.39,0.0206145025346647,12.0,5.7
45,Canada,CAN,North America,2012,81.6636585365854,83.82,79.61,0.0205502758447799,12.0,5.6
46,Canada,CAN,North America,2013,81.7448780487805,83.85,79.74,0.0199513839655113,11.0,5.5
47,Canada,CAN,North America,2014,81.7843902439025,83.91,79.76,0.0202987281162972,12.0,5.4
48,Canada,CAN,North America,2015,81.8156097560976,83.89,79.84,0.020261384148773,12.0,5.4
49,Canada,CAN,North America,2016,81.9248780487805,84.03,79.92,0.0217568129460498,13.0,5.3
50,Canada,CAN,North America,2017,81.8329268292683,84.02,79.75,0.0218481651072605,13.0,5.3
51,Canada,CAN,North America,2018,81.8439024390244,83.99,79.8,0.0152818696982919,11.0,5.2
52,Canada,CAN,North America,2019,82.2239024390244,84.37,80.18,0.0155035295884585,11.0,5.1
53,Canada,CAN,North America,2020,81.6604878048781,83.95,79.48,0.015309248752025,11.0,5.1
54,Canada,CAN,North America,2021,81.5870731707317,84.02,79.27,,,5.0
55,Canada,CAN,North America,2022,81.2956097560976,83.58,79.12,,,4.9
56,Chile,CHL,Latin America & Caribbean,2009,78.741,81.481,75.941,0.0418247085318157,24.0,8.8
57,Chile,CHL,Latin America & Caribbean,2010,78.501,81.213,75.734,0.040505946973268,23.0,8.7
