,Country Name,Country Code,Region,Year,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),External health expenditure (% of current health expenditure),Out-of-pocket expenditure (% of current health expenditure)
0,Australia,AUS,East Asia & Pacific,2009,8.54473877,4011.93261719,73.01054382,26.98945999,0.0,19.05284309
1,Australia,AUS,East Asia & Pacific,2010,8.42025661,4975.47070313,72.35727692,27.64272499,0.0,19.74928665
2,Australia,AUS,East Asia & Pacific,2011,8.53744984,5909.14990234,73.26029968,26.73970413,0.0,19.17248344
3,Australia,AUS,East Asia & Pacific,2012,8.67456913,6071.65087891,71.23465729,28.76534462,0.0,19.93433952
4,Australia,AUS,East Asia & Pacific,2013,8.75058746,5843.17382813,67.7279892,32.27200699,0.0,19.52692413
5,Australia,AUS,East Asia & Pacific,2014,9.83354282,6130.99853516,70.11465454,29.88535118,0.0,17.84737015
6,Australia,AUS,East Asia & Pacific,2015,10.18225861,5322.97119141,71.02825928,28.97174072,0.0,17.20188141
7,Australia,AUS,East Asia & Pacific,2016,10.09288597,5453.92480469,71.10353088,28.89646912,0.0,16.94656563
8,Australia,AUS,East Asia & Pacific,2017,10.12281322,5813.61376953,71.25540161,28.7446022,0.0,16.60431671
9,Australia,AUS,East Asia & Pacific,2018,10.05971909,5857.28808594,71.47225952,28.52773666,0.0,16.24427223
10,Australia,AUS,East Asia & Pacific,2019,10.21965981,5545.91064453,73.73882294,26.26117706,0.0,14.73396778
11,Australia,AUS,East Asia & Pacific,2020,10.6837368,5958.765625,73.68083191,26.31917,0.0,14.91264343
12,Australia,AUS,East Asia & Pacific,2021,10.54363918,7055.36816406,76.03939819,23.96060181,0.0,13.82497215
13,Austria,AUT,Europe & Central Asia,2009,10.23,4929.0,72.85,27.15,0.0,18.05
14,Austria,AUT,Europe & Central Asia,2010,10.22,4801.0,72.4,27.6,0.0,18.6
15,Austria,AUT,Europe & Central Asia,2011,10.03,5168.0,72.69,27.31,0.0,18.74
16,Austria,AUT,Europe & Central Asia,2012,10.2,4966.0,72.87,27.13,0.0,18.67
17,Austria,AUT,Europe & Central Asia,2013,10.29,5235.0,72.17,27.83,0.0,19.17
18,Austria,AUT,Europe & Central Asia,2014,10.37,5394.0,72.52,27.48,0.0,19.1
19,Austria,AUT,Europe & Central Asia,2015,10.37,4613.0,72.46,27.54,0.0,19.09
20,Austria,AUT,Europe & Central Asia,2016,10.35,4710.0,72.36,27.64,0.0,19.24
21,Austria,AUT,Europe & Central Asia,2017,10.38,4939.0,73.81,26.19,0.0,19.15
22,Austria,AUT,Europe & Central Asia,2018,10.35,5337.0,74.47,25.53,0.0,18.43
23,Austria,AUT,Europe & Central Asia,2019,10.49,5263.0,74.88,25.12,0.0,17.92
24,Austria,AUT,Europe & Central Asia,2020,11.39,5567.0,76.74,23.26,0.0,16.65
25,Austria,AUT,Europe & Central Asia,2021,12.1,6505.0,78.25,21.75,0.0,15.78
26,Belgium,BEL,Europe & Central Asia,2009,10.32117939,4638.43896484,76.30044556,23.69955063,0.0,19.67219925
27,Belgium,BEL,Europe & Central Asia,2010,10.20229435,4531.03369141,76.24723816,23.75276375,0.0,19.72377968
28,Belgium,BEL,Europe & Central Asia,2011,10.36337948,4930.14111328,76.18171692,23.81827736,0.0,19.60092926
29,Belgium,BEL,Europe & Central Asia,2012,10.50204754,4704.47265625,76.45965576,23.54034233,0.0,19.45786667
30,Belgium,BEL,Europe & Central Asia,2013,10.57661152,4954.92431641,75.98609924,24.01390266,0.0,19.74363899
31,Belgium,BEL,Europe & Central Asia,2014,10.60909367,5080.125,76.12174225,23.87826157,0.0,19.53881264
32,Belgium,BEL,Europe & Central Asia,2015,10.79745102,4442.40136719,76.38321686,23.61678123,0.0,19.02587509
33,Belgium,BEL,Europe & Central Asia,2016,10.79354668,4542.79492188,76.77429962,23.22570419,0.0,18.4723587
34,Belgium,BEL,Europe & Central Asia,2017,10.79855728,4782.64697266,76.72920227,23.27079201,0.0,18.40237427
35,Belgium,BEL,Europe & Central Asia,2018,10.86148262,5176.98388672,76.6003418,23.3996563,0.0,18.50161743
36,Belgium,BEL,Europe & Central Asia,2019,10.79477787,5049.57714844,75.22897339,24.77102661,0.0,19.81006432
37,Belgium,BEL,Europe & Central Asia,2020,11.19751263,5104.02539063,77.90409851,22.0959034,0.0,17.39719009
38,Belgium,BEL,Europe & Central Asia,2021,11.04290771,5680.23144531,77.59567261,22.4043293,0.0,17.86028862
39,Canada,CAN,North America,2009,10.66225815,4368.85693359,70.19909668,29.80090141,0.0,15.22482872
40,Canada,CAN,North America,2010,10.67611408,5083.98193359,69.88223267,30.11776161,0.0,15.64700031
41,Canada,CAN,North America,2011,10.37950897,5423.05908203,70.22858429,29.77141762,0.0,15.1972847
42,Canada,CAN,North America,2012,10.50971508,5538.93554688,70.50048065,29.49952698,0.0,15.03200054
43,Canada,CAN,North America,2013,10.41174984,5483.25585938,70.90926361,29.0907383,0.0,14.5929203
44,Canada,CAN,North America,2014,10.25765324,5231.73632813,70.74804688,29.25195313,0.0,14.74378586
45,Canada,CAN,North America,2015,10.73869705,4677.83007813,70.84063721,29.15936279,0.0,14.73381138
46,Canada,CAN,North America,2016,11.0319252,4667.703125,69.84086609,30.15913963,0.0,15.63871956
47,Canada,CAN,North America,2017,10.90631104,4920.72851563,69.61568451,30.38431358,0.0,15.85270691
48,Canada,CAN,North America,2018,10.90542507,5080.32324219,69.68502808,30.31496811,0.0,15.59457874
49,Canada,CAN,North America,2019,11.00887775,5115.97607422,69.51062775,30.48937988,0.0,15.45603371
50,Canada,CAN,North America,2020,13.0351181,5668.34765625,73.69656372,26.30343819,0.0,13.77592468
51,Canada,CAN,North America,2021,12.3341074,6470.06787109,72.91928101,27.0807209,0.0,14.02343464
52,Canada,CAN,North America,2022,11.15471363,6207.18164063,71.31062317,28.68937874,0.0,14.88593388
53,Chile,CHL,Latin America & Caribbean,2009,7.25026846,738.284729,46.86124802,53.12550735,0.01324864,34.58893585
54,Chile,CHL,Latin America & Caribbean,2010,6.81958437,870.70959473,47.10449982,52.88527298,0.01022053,34.46762848
55,Chile,CHL,Latin America & Caribbean,2011,6.79947519,994.66607666,47.15742111,52.84055328,0.002029,34.49925995
56,Chile,CHL,Latin America & Caribbean,2012,7.01951313,1081.46069336,47.93560791,52.06286621,0.0015266,33.40764236
57,Chile,CHL,Latin America & Caribbean,2013,7.47552633,1183.62084961,47.6493454,52.34796524,0.00269315,33.63830948
58,Chile,CHL,Latin America & Caribbean,2014,7.84150124,1150.06164551,47.73588562,52.26168823,0.00242602,34.26873016
59,Chile,CHL,Latin America & Caribbean,2015,8.3513937,1133.27978516,48.01672745,51.98185349,0.00141932,34.50925446
60,Chile,CHL,Latin America & Caribbean,2016,8.55767059,1179.73364258,49.65286255,50.34714127,0.0,34.75082779
61,Chile,CHL,Latin America & Caribbean,2017,9.090518,1367.71643066,50.39948273,49.60051346,0.0,33.30509567
62,Chile,CHL,Latin America & Caribbean,2018,9.22575188,1457.27282715,50.82174683,49.17825317,0.0,33.24672699
63,Chile,CHL,Latin America & Caribbean,2019,9.36262131,1369.48400879,50.91718674,49.08280945,0.0,32.80002975
64,Chile,CHL,Latin America & Caribbean,2020,9.72726822,1280.63232422,56.28879929,43.7111969,0.0,29.32073784
65,Chile,CHL,Latin America & Caribbean,2021,9.34327984,1518.04003906,55.62454224,44.37545776,0.0,30.26623917
