Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.54473877,8.42025661,8.53744984,8.67456913,8.75058746,9.83354282,10.18225861,10.09288597,10.12281322,10.05971909,10.21965981,10.6837368,10.54363918,..,..
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4011.93261719,4975.47070313,5909.14990234,6071.65087891,5843.17382813,6130.99853516,5322.97119141,5453.92480469,5813.61376953,5857.28808594,5545.91064453,5958.765625,7055.36816406,..,..
Australia,AUS,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Australia,AUS,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,19.05284309,19.74928665,19.17248344,19.93433952,19.52692413,17.84737015,17.20188141,16.94656563,16.60431671,16.24427223,14.73396778,14.91264343,13.82497215,..,..
Australia,AUS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,73.01054382,72.35727692,73.26029968,71.23465729,67.7279892,70.11465454,71.02825928,71.10353088,71.25540161,71.47225952,73.73882294,73.68083191,76.03939819,..,..
Australia,AUS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,26.98945999,27.64272499,26.73970413,28.76534462,32.27200699,29.88535118,28.97174072,28.89646912,28.7446022,28.52773666,26.26117706,26.31917,23.96060181,..,..
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.23,10.22,10.03,10.2,10.29,10.37,10.37,10.35,10.38,10.35,10.49,11.39,12.1,..,..
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4929,4801,5168,4966,5235,5394,4613,4710,4939,5337,5263,5567,6505,..,..
Austria,AUT,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Austria,AUT,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,18.05,18.6,18.74,18.67,19.17,19.1,19.09,19.24,19.15,18.43,17.92,16.65,15.78,..,..
Austria,AUT,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,72.85,72.4,72.69,72.87,72.17,72.52,72.46,72.36,73.81,74.47,74.88,76.74,78.25,..,..
Austria,AUT,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,27.15,27.6,27.31,27.13,27.83,27.48,27.54,27.64,26.19,25.53,25.12,23.26,21.75,..,..
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.32117939,10.20229435,10.36337948,10.50204754,10.57661152,10.60909367,10.79745102,10.79354668,10.79855728,10.86148262,10.79477787,11.19751263,11.04290771,..,..
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4638.43896484,4531.03369141,4930.14111328,4704.47265625,4954.92431641,5080.125,4442.40136719,4542.79492188,4782.64697266,5176.98388672,5049.57714844,5104.02539063,5680.23144531,..,..
Belgium,BEL,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Belgium,BEL,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,19.67219925,19.72377968,19.60092926,19.45786667,19.74363899,19.53881264,19.02587509,18.4723587,18.40237427,18.50161743,19.81006432,17.39719009,17.86028862,..,..
Belgium,BEL,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,76.30044556,76.24723816,76.18171692,76.45965576,75.98609924,76.12174225,76.38321686,76.77429962,76.72920227,76.6003418,75.22897339,77.90409851,77.59567261,..,..
Belgium,BEL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,23.69955063,23.75276375,23.81827736,23.54034233,24.01390266,23.87826157,23.61678123,23.22570419,23.27079201,23.3996563,24.77102661,22.0959034,22.4043293,..,..
Canada,CAN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.66225815,10.67611408,10.37950897,10.50971508,10.41174984,10.25765324,10.73869705,11.0319252,10.90631104,10.90542507,11.00887775,13.0351181,12.3341074,11.15471363,..
Canada,CAN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4368.85693359,5083.98193359,5423.05908203,5538.93554688,5483.25585938,5231.73632813,4677.83007813,4667.703125,4920.72851563,5080.32324219,5115.97607422,5668.34765625,6470.06787109,6207.18164063,..
Canada,CAN,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Canada,CAN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,15.22482872,15.64700031,15.1972847,15.03200054,14.5929203,14.74378586,14.73381138,15.63871956,15.85270691,15.59457874,15.45603371,13.77592468,14.02343464,14.88593388,..
Canada,CAN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,70.19909668,69.88223267,70.22858429,70.50048065,70.90926361,70.74804688,70.84063721,69.84086609,69.61568451,69.68502808,69.51062775,73.69656372,72.91928101,71.31062317,..
Canada,CAN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.80090141,30.11776161,29.77141762,29.49952698,29.0907383,29.25195313,29.15936279,30.15913963,30.38431358,30.31496811,30.48937988,26.30343819,27.0807209,28.68937874,..
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.25026846,6.81958437,6.79947519,7.01951313,7.47552633,7.84150124,8.3513937,8.55767059,9.090518,9.22575188,9.36262131,9.72726822,9.34327984,9.00162983,..
